Position,Annual Salary,Label
Professor,113548.56,Professor
Professor - Practice,113147.04,Professor
Assoc Professor,113118.48,Assoc Professor
Professor - Educator,113040.84,Professor
Assoc Professor,113019.48,Assoc Professor
Professor Educator,112939.2,Professor
Professor,112851.0,Professor
Assoc Professor,112754.4,Assoc Professor
Asst Professor - Educator,112706.16,Asst Professor
Assoc Professor,112590.84,Assoc Professor
Asst Professor - Educator,112523.4,Asst Professor
Professor,112521.72,Professor
Professor,112386.0,Professor
Professor,112268.64,Professor
Professor,112205.28,Professor
Professor,112128.84,Professor
Asst Professor - Clin Geo,112000.0,Asst Professor
Professor,111984.84,Professor
Assoc Professor,111865.92,Assoc Professor
Professor,111786.6,Professor
Professor,111739.68,Professor
Professor,111573.84,Professor
Assoc Professor - Research,111476.16,Assoc Professor
Professor,111460.56,Professor
Assoc Professor,111279.96,Assoc Professor
Professor,111225.12,Professor
Professor,111200.16,Professor
Professor,111161.28,Professor
Professor,111151.2,Professor
Assoc Professor,111032.88,Assoc Professor
Professor - Geo,111000.0,Professor
Professor,110638.56,Professor
Professor,110636.88,Professor
Assoc Professor - Practice,110613.77,Assoc Professor
Professor,110588.88,Professor
Professor,110466.36,Professor
Professor - Practice,110432.76,Professor
Asst Professor - Educator,110423.4,Asst Professor
Asst Dean,110408.16,Dean
Sr Assoc Dean - COM,110408.16,Dean
Professor,110406.6,Professor
Asst Professor - Research,110375.16,Asst Professor
Professor - Practice,110332.92,Professor
Assoc Professor,110275.92,Assoc Professor
Asst Professor,110275.92,Asst Professor
Professor,110234.76,Professor
Professor,110002.92,Professor
Professor - Educator,110000.0,Professor
Professor,110000.0,Professor
Professor,109831.56,Professor
Assoc Professor,109750.92,Assoc Professor
Professor - Clin,109710.84,Professor
Professor,109540.32,Professor
Professor,109452.84,Professor
Asst Professor - Clin Geo,109379.0,Asst Professor
Professor,109372.68,Professor
Asst Professor - Clin,109335.48,Asst Professor
Assoc Professor,109285.56,Assoc Professor
Professor,109258.32,Professor
Assoc Professor,109019.04,Assoc Professor
Professor,109000.08,Professor
Asst Professor - Clin,108980.52,Asst Professor
Professor,108916.92,Professor
Asst Professor - Adj,108900.0,Asst Professor
Asst Professor,108804.0,Asst Professor
Professor,108771.72,Professor
Professor,108724.08,Professor
Professor,108695.04,Professor
Asst Professor - Educator,108646.68,Asst Professor
Professor,108603.96,Professor
Assoc Professor - Educator,108599.04,Assoc Professor
Professor,108585.12,Professor
Dir Academic,108527.76,Director Academic
Professor,108405.0,Professor
Professor - Clin Geo,108342.36,Professor
Professor,108323.4,Professor
Professor,108283.08,Professor
Professor - Practice,108270.6,Professor
Professor,108078.24,Professor
Assoc Professor,108000.0,Assoc Professor
Asst Professor,107985.0,Asst Professor
Assoc Professor,107953.56,Assoc Professor
Professor,107843.28,Professor
Assoc Professor,107733.12,Assoc Professor
Professor,107566.79,Professor
Professor,107513.04,Professor
Assoc Professor,107498.88,Assoc Professor
Asst Professor - Educator,107326.2,Asst Professor
Professor,107299.2,Professor
Professor,107256.12,Professor
Asst Professor - Educator,107253.48,Asst Professor
Professor,107210.64,Professor
Asst Professor,107210.04,Asst Professor
Asst Professor,107152.2,Asst Professor
Assoc Professor,107139.24,Assoc Professor
Dir Academic,107100.0,Director Academic
Asst Dean,107100.0,Dean
Dir Academic,107100.0,Director Academic
Professor,106835.4,Professor
Professor,106822.08,Professor
Assoc Professor,106789.32,Assoc Professor
Professor,106788.48,Professor
Professor,106782.72,Professor
Professor,106727.64,Professor
Professor,106648.08,Professor
Asst Professor - Research,106572.84,Asst Professor
Assoc Professor - Educator,106427.16,Assoc Professor
Professor,106368.72,Professor
Assoc Professor,106360.8,Assoc Professor
Assoc Professor,106313.64,Assoc Professor
Assoc Professor,106296.84,Assoc Professor
Dir Academic,106120.8,Director Academic
Sr HR Director Provost Operations,106120.8,Provost
Assoc Professor,106064.88,Assoc Professor
Asst Professor - Clin Geo,106000.04,Asst Professor
Professor,105997.32,Professor
Professor,105754.44,Professor
Professor,105725.76,Professor
Professor,105687.0,Professor
Professor,105667.92,Professor
Assoc Professor,105351.36,Assoc Professor
Assoc Professor - Educator,105348.72,Assoc Professor
Assoc Professor,105329.4,Assoc Professor
Professor,105288.84,Professor
Dir Academic,105217.2,Director Academic
Asst Professor - Educator,105125.76,Asst Professor
Assoc Professor,105089.4,Assoc Professor
Asst Professor - Educator,105069.6,Asst Professor
Professor - Educator,105069.6,Professor
Asst Professor - Research,105069.6,Asst Professor
Assoc Professor,105068.52,Assoc Professor
Assoc Professor - Research,105021.36,Assoc Professor
Assoc Professor,105000.0,Assoc Professor
Professor,104954.76,Professor
Professor,104869.92,Professor
Professor,104859.24,Professor
Assoc Professor,104702.28,Assoc Professor
Assoc Professor,104699.4,Assoc Professor
Asst Professor - Educator,104553.48,Asst Professor
Assoc Professor,104499.0,Assoc Professor
Professor,104485.32,Professor
Professor,104428.92,Professor
Assoc Professor,104224.2,Assoc Professor
Professor,104165.4,Professor
Asst Professor,104065.8,Asst Professor
Asst Professor,104000.0,Asst Professor
Assoc Professor,103956.24,Assoc Professor
Professor,103953.36,Professor
Assoc Professor - Research,103818.72,Assoc Professor
Professor,103770.48,Professor
Professor,103770.36,Professor
Asst Professor - Educator,103578.0,Asst Professor
Assoc Professor - Field Svc Geo,103500.0,Assoc Professor
Asst Professor,103494.96,Asst Professor
Asst Professor,103494.96,Asst Professor
Asst Dean,103341.96,Dean
Professor,103324.2,Professor
Professor - Geo,103317.0,Professor
Professor,103269.24,Professor
Assoc Professor,103217.04,Assoc Professor
Professor,103179.0,Professor
Assoc Professor,103085.76,Assoc Professor
Professor,103065.12,Professor
Professor,103056.96,Professor
Assoc Professor - Educator,102855.84,Assoc Professor
Professor,102837.36,Professor
Asst Professor - Research,102787.56,Asst Professor
