DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
1,12XX WALNUT ST,39.1088534046734,-84.5134414002263,OVER-THE-RHINE,OVER-THE-RHINE,1388,11101808,2,"CINC, OH 45229",BLACK,MALE,18,NONFATAL,05/07/2011 12:00:00 AM,MAY,150500,15,SAT,11101808,05/07/2011 03:05:00 PM,DISTRICT 1,45202,OTR
4,35XX READING RD,39.1465334879837,-84.4902299758282,AVONDALE,AVONDALE,994,41003244,2,,BLACK,MALE,22,NONFATAL,06/03/2010 12:00:00 AM,JUN,,N/A,THU,41003244,06/03/2010 12:00:00 AM,DISTRICT 4,45229,AVONDALE
5,11XX ATWOOD AV,39.1997920617678,-84.5378651626718,COLLEGE HILL,COLLEGE HILL,3599,169019735,1,"CINCINNATI, OH 45231",WHITE,MALE,35,NONFATAL,08/04/2016 12:00:00 AM,AUG,184200,18,THU,169019735,08/04/2016 06:42:00 PM,DISTRICT 5,,COLLEGE HILL
4,17XX SEYMOUR AV,39.1894204115022,-84.4637937584866,ROSELAWN,ROSELAWN,1193,41006889,1,"CINC, OH 45215",BLACK,MALE,27,NONFATAL,10/28/2010 12:00:00 AM,OCT,,N/A,THU,41006889,10/28/2010 12:00:00 AM,DISTRICT 4,45237,BOND HILL
1,13XX VINE ST,39.1106972570491,-84.5151396701405,OVER-THE-RHINE,OVER-THE-RHINE,401,10806086,1,,BLACK,MALE,24,NONFATAL,12/13/2008 12:00:00 AM,DEC,,N/A,SAT,10806086,12/13/2008 12:00:00 AM,DISTRICT 1,45202,OTR
5,41XX COLERAIN AV,39.1612594931425,-84.546589150752,NORTHSIDE,NORTHSIDE,1914,129021717,2,"CINCINNATI, OH",BLACK,MALE,19,NONFATAL,08/04/2012 12:00:00 AM,AUG,051500,5,SAT,129021717,08/04/2012 05:15:00 AM,DISTRICT 5,45223,NORTHSIDE
1,16XX HAMER ST,39.1154401687148,-84.5155028453936,OVER-THE-RHINE,OVER-THE-RHINE,4471,189029597,1,,BLACK,MALE,30,NONFATAL,11/06/2018 12:00:00 AM,NOV,093000,9,TUE,189029597,11/06/2018 09:30:00 AM,DISTRICT 1,,OTR
3,33XX EPWORTH AV,39.1472444058683,-84.6001851727436,WESTWOOD,WESTWOOD,2916,159006224,1,"CINCINNATI, OH 45211",BLACK,MALE,23,FATAL,03/16/2015 12:00:00 AM,MAR,212800,21,MON,159006224,03/16/2015 09:28:00 PM,DISTRICT 3,45211,WESTWOOD
2,62XX CHANDLER ST,39.162455377058,-84.388903456904,MADISONVILLE,MADISONVILLE,2242,139014083,1,"CINC, OH 45227",BLACK,MALE,28,NONFATAL,06/06/2013 12:00:00 AM,JUN,002400,0,THU,139014083,06/06/2013 12:24:00 AM,DISTRICT 2,45227,MADISONVILLE
1,14XX VINE ST,39.1100350522884,-84.5157663740608,OVER-THE-RHINE,OVER-THE-RHINE,206,10803355,2,,BLACK,MALE,29,NONFATAL,07/13/2008 12:00:00 AM,JUL,,N/A,SUN,10803355,07/13/2008 12:00:00 AM,DISTRICT 1,45202,OTR
5,4XX KINGS RUN DR,39.1764209236531,-84.5091734253154,WINTON HILLS,WINTON HILLS,4438,189027030,1,,BLACK,MALE,37,NONFATAL,10/07/2018 12:00:00 AM,OCT,105700,10,SUN,189027030,10/07/2018 10:57:00 AM,DISTRICT 5,,WINTON HILLS
2,"48XX WHETSEL AVE, #5",39.1589271523397,-84.3922988791558,MADISONVILLE,MADISONVILLE,1291,21100416,1,"CINC, OH 45227",BLACK,FEMALE,37,NONFATAL,01/28/2011 12:00:00 AM,JAN,160200,16,FRI,21100416,01/28/2011 04:02:00 PM,DISTRICT 2,45227,MADISONVILLE
4,35XX READING RD,39.143500475304,-84.4905771333795,AVONDALE,AVONDALE,3008,159011724,1,"CINCINNATI, OH 45229",BLACK,MALE,56,NONFATAL,05/11/2015 12:00:00 AM,MAY,123900,12,MON,159011724,05/11/2015 12:39:00 PM,DISTRICT 4,45229,AVONDALE
1,12XX MAIN ST,39.1093960354123,-84.5109288564264,OVER-THE-RHINE,OVER-THE-RHINE,1538,11103311,1,"CINC, OH 45224",BLACK,MALE,47,NONFATAL,08/14/2011 12:00:00 AM,AUG,184500,18,SUN,11103311,08/14/2011 06:45:00 PM,DISTRICT 1,45202,OTR
1,5XX LIVINGSTON ST,39.1154749658404,-84.5248842377937,WEST END,WEST END,1464,11102659,1,"CINC, OH 45219",BLACK,MALE,30,NONFATAL,06/29/2011 12:00:00 AM,JUN,155500,15,WED,11102659,06/29/2011 03:55:00 PM,DISTRICT 1,45214,WEST END
3,10XX FAIRBANKS AV,39.1112457586574,-84.5678744431889,EAST PRICE HILL,EAST PRICE HILL,676,30907622,2,,BLACK,MALE,30,NONFATAL,08/15/2009 12:00:00 AM,AUG,,N/A,SAT,30907622,08/15/2009 12:00:00 AM,DISTRICT 3,45205,EAST PRICE HILL
1,15XX MOORE ST,39.111879451419,-84.5152406671088,OVER-THE-RHINE,OVER-THE-RHINE,3529,169015581,1,"CINCINNATI, OH 45203",BLACK,MALE,37,NONFATAL,06/26/2016 12:00:00 AM,JUN,230000,23,SUN,169015581,06/26/2016 11:00:00 PM,DISTRICT 1,,OTR
